encode,decode
이미지로 사람을 검색하고 싶어요 ,000000000000001
MES운영팀에 P1직급의 남자 직원 검색 , 000000000000002
ERP운영팀에 P2직급의 여자 직원 검색 , 000000000000002
SCM운영팀에 P4직급의 남자 직원 검색, 000000000000002
연구소에 P1직급의 여자 직원 검색, 000000000000002
김영식 팀장 소속 팀 이름은 ? , 000000000000003
김승우 과장 소속 팀 이름은 ? , 000000000000003
김수상 부장 소속 팀 이름은 ? , 000000000000003
AI 프로젝트 수행하는 사람들 ? , 000000000000004
출하 운영업무 수행하는 사람 ?, 000000000000004
야드 운영업무 수행하는 사람 ? , 000000000000004
모바일 개발 업무 수행하는 사람 ? , 000000000000004
김영식 팀장 소속 P2남자 직원 ?, 000000000000005
김영식 팀장 소속 P3여자 직원 ?, 000000000000005
김영식 팀장 소속 P4여자 직원 ? ,000000000000005
김영식 팀장 소속 P1남자 직원 ? ,000000000000005
P1직급 이상 김영식 팀장 소속 모바일 기술 보유 ? , 000000000000006
P2직급 이상 김영식 팀장 소속 BigData 기술 보유 ? , 000000000000006
