decode,utterances,encode,named_entity,note
1,[홍길동]을 찾아줘!,[이름]을 찾아줘!,이름,특정 직원을 조회
1,[홍길동] 누구?,[이름] 누구?,이름,
1,[홍길동]은?,[이름]은?,이름,
1,[홍길동] 조회,[이름] 조회,이름,
1,[홍길동] 정보,[이름] 정보,이름,
1,[홍길동],[이름],이름,
2,[홍길동] [차장],[이름] [직급],사람이름/ 직급명칭,
2,[홍길동] [차장] 조회,[이름] [직급] 조회,사람이름/ 직급명칭,
2,[홍길동] [차장] 찾아줘,[이름] [직급] 찾아줘,사람이름/ 직급명칭,
2,[홍길동] [차장]은?,[이름] [직급]은?,사람이름/ 직급명칭,
2,[홍길동] [차장] 정보,[이름] [직급] 정보,사람이름/ 직급명칭,
3,[홍길동] [팀장],[이름] [직책],사람이름/직책,
3,[홍길동] [팀장] 조회,[이름] [직책] 조회,사람이름/직책,
3,[홍길동] [팀장] 찾아줘,[이름] [직책] 찾아줘,사람이름/직책,
3,[홍길동] [팀장]은?,[이름] [직책]은?,사람이름/직책,
3,[홍길동] [팀장] 정보,[이름] [직책] 정보,사람이름/직책,
4,[홍길동]의 [팀장],[이름]의 [직책],사람이름/직책/소유격조사,소유격조사의 처리
4,[홍길동]의 [팀장] 조회,[이름]의 [직책] 조회,사람이름/직책/소유격조사,소유격조사의 처리
4,[홍길동]의 [팀장] 찾아줘,[이름]의 [직책] 찾아줘,사람이름/직책/소유격조사,소유격조사의 처리
4,[홍길동]의 [팀장]은?,[이름]의 [직책]은?,사람이름/직책/소유격조사,소유격조사의 처리
4,[홍길동]의 [팀장] 정보,[이름]의 [직책] 정보,사람이름/직책/소유격조사,소유격조사의 처리
5,[홍길동] [대리]의 [팀장],[이름] [직급]의 [직책],사람이름/ 직급명칭/직책/ 소유격조사,
5,[홍길동] [대리]의 [팀장] 조회,[이름] [직급]의 [직책] 조회,사람이름/ 직급명칭/직책/ 소유격조사,
5,[홍길동] [대리]의 [팀장] 찾아줘,[이름] [직급]의 [직책] 찾아줘,사람이름/ 직급명칭/직책/ 소유격조사,
5,[홍길동] [대리]의 [팀장]은?,[이름] [직급]의 [직책]은?,사람이름/ 직급명칭/직책/ 소유격조사,
5,[홍길동] [대리]의 [팀장] 정보,[이름] [직급]의 [직책] 정보,사람이름/ 직급명칭/직책/ 소유격조사,
6,홍길동의 교대근무조,[이름]의 [근태코드],이름/근태코드,교대근무조를 알려주면서 이 근무조가 현재 근무중인지도 함께 알려줘야지
6,홍길동 교대근무조,[이름] [근태코드],이름/근태코드,
6,홍길동은 휴무인가요?,[이름]은 [근태코드]인가요?,이름/근태코드,
6,홍길동은 오늘 근무하나요?,[이름]은 오늘 [근태코드]하나요?,이름/날짜/근태코드,
6,홍길동 오늘 휴가?,[이름] 오늘 [근태코드]?,이름/날짜/근태코드,
6,홍길동 오늘 근무?,[이름] 오늘 [근태코드]?,이름/날짜/근태코드,
7,[정보기획실],[부서],부서,
8,[STS마케팅실] [홍길동] [대리],[부서] [이름] [직급],부서/ 사람이름/ 직급명칭,STS동의어 (부서명내 용어 동의어)
8,[STS마케팅실] [홍길동] [대리] 조회,[부서] [이름] [직급] 조회,부서/ 사람이름/ 직급명칭,
8,[STS마케팅실] [홍길동] [대리] 찾아줘,[부서] [이름] [직급] 찾아줘,부서/ 사람이름/ 직급명칭,
8,[STS마케팅실] [홍길동] [대리]은?,[부서] [이름] [직급]은?,부서/ 사람이름/ 직급명칭,
8,[STS마케팅실] [홍길동] [대리] 정보,[부서] [이름] [직급] 정보,부서/ 사람이름/ 직급명칭,
9,정보기획실장,[직책] [이름],부서/직책,부서 + 직책 : 정보기획실 + 실장
9,정보기획실 팀리더,[직책] [이름],부서/ 직책,
10,[정보기획실 정보기획그룹],[부서] [그룹],부서,
11,정보기획실에서 P1/ P3를 찾아줘,[부서]에서 [Grade]/ [Grade]를 찾아줘,부서/ 직급/ 직급,직급 다중처리
12,법무실 근무 직원 중 서울에 근무하는 직원을 찾아줘,[부서] 근무 직원 중 [지역]에 근무하는 직원을 찾아줘,부서/ 지역,
13,[정보보호그룹][정보기획그룹],[그룹][그룹],부서/부서,
14,정보기획그룹장,[그룹]장,부서 + 직책,부서 + 직책 : 정보기획실 + 그룹장
15,정보기획그룹 팀리더,[그룹] [직급],부서/직책,[직책]/ 팀리더 동의어
15,정보기획그룹 차장,[그룹] [직급],부서/직급명칭,
16,포스코IT사업부 박씨 대리,[그룹] 박씨 [직급],부서/성씨/직급,성씨? 이름?
16,포스코IT사업부 박모 대리,[그룹] 박모 [직급],부서/성씨/직급,박모가 이름이면? 박모수라는 이름이 있으면?
16,포스코IT사업부 박대리,[그룹] 박[직급],부서/성씨/직급,
17,정보기획그룹 P1,[그룹] [Grade],부서/직급,
18,B조,[근무조],교대근무조,* 전사의 B조로 해석하기 본인부서의 B조
19,화성부 화성공장 현재 시간 근무조는 누구?,[부] [공장] 현재 시간 근무조는 누구?,부서/시간,화성공장에 현재 근무조는 B조이고 B조 명단
20,서울지역 P1,[지역]지역 [직급],지역/직급,
20,서울지역 차장,[지역]지역 [직급],지역/직급명칭,
21,서울 P1,[지역] [직급],지역/직급,
21,서울 PCP,[지역] [직급],지역/직급,
21,서울 차장,[지역] [직급],지역/직급명칭,
22,포항지역 팀리더,[지역][직책],지역/직책,
22,포항 팀리더,[지역][직책],지역/직책,
